
Date,Amount,Category,Subcategory,Payment Method,Description,Ref/Check No,Payee/Payer,Status,Receipt Picture,Account,Tag,Tax,Quantity,Split Total,Row Id,Type Id
2016-09-24,50000,Income,,Cash,,,haseeb,Cleared,,$Debt,2018-06-01,,,,4,$Debt
2018-01-01,57000,Income,,Debit,,,salary,Cleared,,Personal Expense,,,1 PCS,,1157,
2018-01-01,-57000,Other,Other,Debit,,,unknown,Uncleared,,Personal Expense,,,1 PCS,,1159,
2018-02-01,-7354,Other,Other,Debit,,,unknown,Uncleared,,Personal Expense,,,1 PCS,,1158,
2018-02-01,11300,Income,,Debit,,,previous balance,Cleared,,Personal Expense,,,1 PCS,,1,
2018-02-01,45700,Income,,Cash,,,previous balance,Uncleared,,Personal Expense,,,1 PCS,,3,
2018-03-07,716,Income,,Electronic Transfer,,,previous balance,Uncleared,,Personal Expense,,,1 PCS,,2,
2018-03-07,-10,Food,mine,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,5,
2018-03-08,-10,Travel,Bus,Cash,,,,Uncleared,,Personal Expense,,,1 PCS,,10,
2018-03-08,-39,Food,Snack,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,11,
2018-03-08,-29,Personal,Recharge,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,12,
2018-03-08,-10,Travel,Bus,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,6,
2018-03-08,-20,Food,mine,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,7,
2018-03-08,-10,Food,Snack,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,8,
2018-03-08,-414,Travel,Train,Debit,,,,Cleared,,Personal Expense,,,1 PCS,,9,
2018-03-09,-37,Travel,bike,Debit,,,,Cleared,,Personal Expense,,,1 PCS,,13,
2018-03-09,-88,Travel,bike,Debit,,,,Cleared,,Personal Expense,,,1 PCS,,14,
2018-03-09,-45,Food,mine,Cash,,,,Uncleared,,Personal Expense,,,1 PCS,,15,
2018-03-10,-400,Food,Other,Cash,,,moochikkal gravy for afi,Cleared,,Personal Expense,,,1 PCS,,43,
2018-03-10,-200,Automobile,Fuel,Cash,,,,Cleared,,Personal Expense,,,1 PCS,,18,
2018-03-10,-1950,Household,Home Maintenance,Cash,,,flower city,Cleared,,Personal Expense,,,1 PCS,,19,
